0000006981-0001-0,JONG JEE CHOE,CHIN GU NE,3101 W 8TH STREET,LOS ANGELES,3101 8TH 90005-1902,,,,722110,Full-service restaurants,10,05/10/2003,,
0000006977-0001-3,NAK KYUN CHANG,KOBOS USA,311 S BOYLSTON STREET,LOS ANGELES,311 BOYLSTON 90017-1421,,,,722110,Full-service restaurants,1,04/07/2003,,
0000008855-0001-3,NANOS RESTAURANT LLC,PENNYS BURGERS,6300 N FIGUEROA STREET,LOS ANGELES,6300 FIGUEROA 90042-2733,,,,722110,Full-service restaurants,14,03/25/2000,,
0000015790-0001-1,SHARON WOLF,SHARON'S GOOD EATS,6150 VAN NUYS BLVD #125,VAN NUYS,6150 VAN NUYS 91401-3300,,,,722110,Full-service restaurants,6,03/03/2003,,
0000040200-0001-1,MEL-Z ENTERPRISE INC,JACK IN THE BOX 349,16945 SAN FERNANDO MISSION BLVD,GRANADA HILLS,16945 SAN FERNANDO MISSION 91344-4250,18614 UTOPIA COURT,CANYON COUNTRY,91351-3415,722110,Full-service restaurants,12,05/01/2003,,
0000048133-0001-5,BACARO LLC,THE 3RD STOP,8636 W 3RD STREET,LOS ANGELES,8636 3RD 90048-3323,,,,722110,Full-service restaurants,5,11/10/2003,,
0000054319-0006-0,IN-N-OUT BURGERS A CALIFORNIA CORPORATION,IN-N-OUT BURGER #35,9858 BALBOA BLVD,NORTHRIDGE,9858 BALBOA 91325-1904,4199 CAMPUS DRIVE FLOOR #9TH,IRVINE,92612-8604,722110,Full-service restaurants,12,12/18/1984,,
0000086205-0001-2,MYONG SU OAH,FIELD,5201 W SUNSET BLVD,LOS ANGELES,5201 SUNSET 90027-5709,,,,722110,Full-service restaurants,13,01/20/1994,,
0000097431-0001-5,KULWANT SINGH,PHILIPOS PIZZA & PASTA,1206 PACIFIC COAST HIGHWAY,HARBOR CITY,1206 PACIFIC COAST 90710-2932,26151 VERMONT AVENUE APARTMENT #202A,HARBOR CITY,90710-3429,722110,Full-service restaurants,15,02/07/1994,,
0000097465-0001-4,GUADALUPE PEREZ,BRITE SPOT RESTAURANT,615 S PACIFIC AVENUE,SAN PEDRO,615 PACIFIC 90731-2629,1720 E ANAHEIM STREET,LONG BEACH,90813-3905,722110,Full-service restaurants,15,03/26/1994,,
